Price,Adj Close,Close,High,Low,Open,Volume
Ticker,8366.T,8366.T,8366.T,8366.T,8366.T,8366.T
Date,,,,,,
2013-01-04,2307.40087890625,2725.0,2745.0,2680.0,2725.0,59600
2013-01-07,2239.66064453125,2645.0,2750.0,2640.0,2750.0,62800
2013-01-08,2239.66064453125,2645.0,2685.0,2635.0,2655.0,39200
2013-01-09,2277.763916015625,2690.0,2705.0,2620.0,2640.0,53200
2013-01-10,2307.40087890625,2725.0,2760.0,2675.0,2695.0,55800
2013-01-11,2307.40087890625,2725.0,2780.0,2725.0,2755.0,40600
2013-01-15,2290.465576171875,2705.0,2760.0,2700.0,2760.0,38800
2013-01-16,2273.530029296875,2685.0,2720.0,2675.0,2705.0,70600
2013-01-17,2290.465576171875,2705.0,2710.0,2660.0,2685.0,41600
2013-01-18,2324.33544921875,2745.0,2750.0,2715.0,2735.0,51400
2013-01-21,2294.69970703125,2710.0,2745.0,2700.0,2745.0,39800
2013-01-22,2243.89404296875,2650.0,2715.0,2635.0,2715.0,73200
2013-01-23,2243.89404296875,2650.0,2670.0,2615.0,2650.0,57800
2013-01-24,2248.1279296875,2655.0,2665.0,2595.0,2605.0,39000
2013-01-25,2307.40087890625,2725.0,2740.0,2680.0,2690.0,62600
2013-01-28,2277.763916015625,2690.0,2750.0,2690.0,2750.0,34800
2013-01-29,2290.465576171875,2705.0,2725.0,2665.0,2680.0,62600
2013-01-30,2311.634521484375,2730.0,2745.0,2710.0,2710.0,55200
2013-01-31,2243.89404296875,2650.0,2740.0,2645.0,2725.0,128200
2013-02-01,2226.958984375,2630.0,2685.0,2625.0,2660.0,102200
2013-02-04,2193.089599609375,2590.0,2650.0,2590.0,2640.0,97600
2013-02-05,2154.985107421875,2545.0,2595.0,2540.0,2575.0,125800
2013-02-06,2167.686767578125,2560.0,2585.0,2545.0,2560.0,58000
2013-02-07,2176.154296875,2570.0,2610.0,2550.0,2580.0,83400
2013-02-08,2210.02392578125,2610.0,2635.0,2530.0,2575.0,102200
2013-02-12,2222.72509765625,2625.0,2695.0,2625.0,2635.0,87400
2013-02-13,2210.02392578125,2610.0,2625.0,2570.0,2605.0,61400
2013-02-14,2197.3232421875,2595.0,2615.0,2580.0,2590.0,72000
2013-02-15,2159.21875,2550.0,2585.0,2510.0,2575.0,83000
2013-02-18,2273.530029296875,2685.0,2700.0,2590.0,2600.0,113000
2013-02-19,2273.530029296875,2685.0,2690.0,2660.0,2685.0,49800
2013-02-20,2269.296875,2680.0,2720.0,2675.0,2690.0,77000
2013-02-21,2273.530029296875,2685.0,2705.0,2630.0,2660.0,77000
2013-02-22,2248.1279296875,2655.0,2675.0,2615.0,2675.0,71600
2013-02-25,2286.2314453125,2700.0,2765.0,2680.0,2705.0,81600
2013-02-26,2239.66064453125,2645.0,2695.0,2625.0,2650.0,62400
2013-02-27,2201.556884765625,2600.0,2645.0,2600.0,2640.0,55000
2013-02-28,2277.763916015625,2690.0,2700.0,2605.0,2605.0,58800
2013-03-01,2311.634521484375,2730.0,2740.0,2670.0,2670.0,58200
2013-03-04,2362.440185546875,2790.0,2820.0,2755.0,2755.0,86400
2013-03-05,2379.37451171875,2810.0,2970.0,2775.0,2820.0,100800
2013-03-06,2425.946533203125,2865.0,2930.0,2855.0,2880.0,72400
2013-03-07,2421.712158203125,2860.0,2880.0,2840.0,2880.0,55200
2013-03-08,2472.517578125,2920.0,2940.0,2845.0,2865.0,158400
2013-03-11,2531.789794921875,2990.0,3010.0,2925.0,2925.0,100000
2013-03-12,2519.08935546875,2975.0,3005.0,2950.0,2995.0,118200
2013-03-13,2472.517578125,2920.0,3025.0,2890.0,2965.0,114200
2013-03-14,2430.179931640625,2870.0,2920.0,2845.0,2920.0,94000
2013-03-15,2510.62158203125,2965.0,2990.0,2900.0,2900.0,205000
2013-03-18,2527.555908203125,2985.0,3005.0,2920.0,2950.0,117800
2013-03-19,2620.69873046875,3095.0,3105.0,2985.0,2985.0,103600
2013-03-21,2756.17919921875,3255.0,3260.0,3115.0,3125.0,163600
2013-03-22,2709.608154296875,3200.0,3340.0,3200.0,3255.0,157000
2013-03-25,2701.140380859375,3190.0,3270.0,3185.0,3250.0,92200
2013-03-26,2692.673095703125,3180.0,3200.0,3110.0,3150.0,120800
2013-03-27,2701.180908203125,3175.0,3175.0,3120.0,3125.0,70800
2013-03-28,2752.227294921875,3235.0,3240.0,3175.0,3180.0,70000
2013-03-29,2730.9580078125,3210.0,3250.0,3180.0,3240.0,90400
2013-04-01,2603.34228515625,3060.0,3215.0,3050.0,3215.0,119600
2013-04-02,2548.04296875,2995.0,3065.0,2935.0,3045.0,163600
2013-04-03,2586.32763671875,3040.0,3060.0,2945.0,2945.0,78800
2013-04-04,2722.450439453125,3200.0,3205.0,2960.0,3025.0,115200
2013-04-05,2892.603271484375,3400.0,3475.0,3280.0,3280.0,218600
2013-04-08,2922.380615234375,3435.0,3520.0,3325.0,3485.0,156600
2013-04-09,2867.079833984375,3370.0,3465.0,3345.0,3445.0,121800
2013-04-10,2896.85693359375,3405.0,3440.0,3365.0,3370.0,61800
